answer	qid
a lot of different flowers	mc500.train.18.5
flowers	mc500.train.18.6
where the best flowers were in her yard	mc500.train.18.7
in a secret spot	mc500.train.18.8
the biggest , bunch of flowers her mother had ever seen	mc500.train.18.10
because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her	mc500.train.18.11
because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her	mc500.train.18.12
the orange ones were small	mc500.train.18.13
the flowers	mc500.train.18.14
She was in a hurry because morning was Mother s Day and she had to collect flowers before her mom woke up to give to her as a present  	mc500.train.18.15
to her	mc500.train.18.16
The mouse	fables-06-16
The mouse	fables-06-17
The lion lost temper and seized the mouse with the paw of the lion  	fables-06-18
The lion	fables-06-19
some net	fables-06-20
The mouse	fables-06-25
that the were the repay	fables-06-26
temper	fables-06-27
because a mouse ran into the face	fables-06-28
The group of power lines	blogs-03-16
Louisiana	blogs-03-17
The narrator	blogs-03-18
Storm occurred  	blogs-03-19
The narrator	blogs-03-20
The oven	blogs-06-16
The oven	blogs-06-17
fire	blogs-06-18
the door of the oven	blogs-06-21
the fire	blogs-06-22
The fox	fables-01-14
The fox	fables-01-15
The fox	fables-01-16
The crow	fables-01-17
The crow	fables-01-18
A lion	fables-02-19
because the lion feared sharp every horn of the bull	fables-02-20
the bull	fables-02-21
the bull	fables-02-22
The lion	fables-02-23
The police	blogs-01-19
The people	blogs-01-20
The police	blogs-01-21
The people	blogs-01-22
G20 summit	blogs-01-23
The police	blogs-01-24
The stork	fables-04-14
The stork	fables-04-15
some soup	fables-04-16
The stork	fables-04-17
The narrator	blogs-05-16
The narrator noticed that the ankle of the narrator was observed  	blogs-05-17
that the slip had fallen because the elastic of the slip was dysfunctional	blogs-05-20
	fables-05-14
a crop	fables-05-15
The agriculturist	fables-05-16
the young man	blogs-02-17
A young man	blogs-02-18
The narrator	blogs-02-19
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep  	blogs-02-20
in the bowl	blogs-04-15
An eagle	fables-03-22
The eagle	fables-03-23
An eagle	fables-03-24
The eagle	fables-03-25
A countryman who owned a drinking vessel	fables-03-26
in the drinking vessel	fables-03-27
any rocks	mc500.train.25.2
Maxine	mc500.train.25.3
yes	mc500.train.0.18
her friends	mc500.train.0.19
the newspaper	mc500.train.23.23
to the goldfish	mc500.train.23.24
all of the flowers	mc500.train.18.22
She got a lot of different sized flowers  	mc500.train.18.23
by a Mouse running over his face	fables-06-10
in order catch a big game	fables-06-11
The mouse	fables-06-12
the voice of the lion	fables-06-13
roars	fables-06-14
Lion	fables-06-15
temper	fables-06-21
temper	fables-06-22
the ropes	fables-06-23
Lion	fables-06-24
The narrator	blogs-03-10
An area of a neighborhood	blogs-03-11
The tree	blogs-03-12
The narrator	blogs-03-13
The first tree	blogs-03-14
My wife children	blogs-03-15
because the broiler of the oven activated	blogs-06-10
to the ceiling	blogs-06-11
The fire	blogs-06-12
a new oven	blogs-06-13
about my new range	blogs-06-14
batch	blogs-06-15
about my new range	blogs-06-19
days of airing the house out	blogs-06-20
There once was a crow  	fables-01-8
The cheese fell  	fables-01-9
A Crow	fables-01-10
A fox	fables-01-11
The fox said that the beauty of the bird was incomparable  	fables-01-12
cawed loudly in order to show him that she was able to sing	fables-01-13
horns	fables-02-12
A lion	fables-02-13
because the lion wanted to eat the bull	fables-02-14
A lion watched the bull and salivated because the lion wanted to eat the bull  	fables-02-15
because every horn of the bull was ugly	fables-02-16
the bull	fables-02-17
The lion	fables-02-18
The police	blogs-01-14
things	blogs-01-15
The people protested peacefully on a street  	blogs-01-16
riot	blogs-01-17
to alleviate the violence	blogs-01-18
The Fox	fables-04-9
The stork	fables-04-10
the long bill of the stork	fables-04-11
a stork to dine	fables-04-12
The fox	fables-04-13
over the slip	blogs-05-10
because the elastic of the slip was dysfunctional	blogs-05-11
The narrator	blogs-05-12
a mixed class of 5th graders ESL	blogs-05-13
So what did do	blogs-05-14
I	blogs-05-15
at the front	blogs-05-18
the slip	blogs-05-19
fire	fables-05-9
The fox was nightly prowling a yard  	fables-05-10
The agriculturist	fables-05-11
because the fox ran into a field	fables-05-12
The corn	fables-05-13
A few years ago	blogs-02-13
on the front yard	blogs-02-14
The narrator	blogs-02-15
The narrator	blogs-02-16
on the deck	blogs-04-10
The squirrel fell  	blogs-04-11
to drink the bowl 's water	blogs-04-12
for the birds	blogs-04-13
a large steel bowl of water	blogs-04-14
An Eagle	fables-03-13
the Serpent	fables-03-14
A countryman witness	fables-03-15
A countryman witness	fables-03-16
eagle	fables-03-17
A countryman witness	fables-03-18
serpent	fables-03-19
some of his poison	fables-03-20
The serpent	fables-03-21
in a beautiful pond	mc500.train.25.1
to thunder	mc500.train.111.2
if it was raining again	mc500.train.111.3
he did n't have to get wet home	mc500.train.111.4
Alyssa	mc500.train.0.13
to a restaurant	mc500.train.0.14
yes	mc500.train.0.15
yes	mc500.train.0.16
Alyssa	mc500.train.0.21
After eating	mc500.train.0.22
Andrew s dad said   I think the newspaper is here  	mc500.train.23.16
to his dad	mc500.train.23.17
The elephant	mc500.train.23.18
animals	mc500.train.23.19
we	mc500.train.23.20
to the circus	mc500.train.23.21
Andrew and his dad	mc500.train.23.22
because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her	mc500.train.18.9
all of the flowers	mc500.train.18.17
flowers	mc500.train.18.18
She	mc500.train.18.19
to hide the flowers in a secret spot	mc500.train.18.20
because it was Mother 's Day and she had to collect flowers before her mom woke up to give to her	mc500.train.18.21
